阶段 0，第 1 章：宇宙

---

1.1 第一缕光
A 分离。
B 种族隔离。
C 殖民主义。
D 内部流放。
A1: B

Q2: 在入狱二十七年之前，曼德拉从事什么职业？
A 卫理公会牧师。
B 非洲人国民大会记者。
C 一位年轻的律师和政治组织者。
D 乡镇学校的一名教师。
A2: C

Q3: 作为总统，曼德拉通过以下方式监督了权力过渡
A 对白人少数群体进行有组织的报复。
B 宽恕与和解，而非复仇。
C 立即重新分配每一个白人拥有的农场。
D 国际军事干预。
A3: B

---

3.12 归来的节拍

被奴役的非洲人带入奴隶船货舱的节奏模式，最终在美洲的棉花田和贫民窟中，转变为蓝调、爵士、灵魂乐和嘻哈音乐，并从那里反射回大西洋，回到起源大陆。在1970年代的尼日利亚，萨克斯手费拉·库蒂将传统的约鲁巴打击乐与美国放克音乐融合，发明了我们现在称为Afrobeat的音乐，他将其作为对抗军政府的明确武器，而军政府最终差点将他打死。牙买加的鲍勃·马利，追溯自己的节奏回到西非，宣布非洲是所有非洲裔人的精神家园，并使雷鬼音乐成为一个全球性的讲道台。如今，Afrobeats，费拉原始合成的现代后裔，已经超越了伦敦、巴黎和纽约的流行排行榜；尼日利亚歌手Burna Boy和Wizkid在各大洲的体育馆中成为头条新闻。四个世纪前带着镣铐离开这片大陆的节拍，已经凯旋归来，而非洲现在定义着全球的节奏，而不仅仅是提供它。

Q1: 费拉·库蒂将约鲁巴打击乐与美国放克音乐融合，发明了
A highlife。
B Afrobeat。
C 灵魂乐。
D 嘻哈。
A1: B

Q2: 鲍勃·马利将什么作为全球性的讲道台？
A 雷鬼。
B 爵士。
C 蓝调。
D Afrobeats。
A2: A

Q3: Burna Boy和Wizkid以费拉原始合成的现代后裔——叫什么——在各大洲的体育馆成为头条新闻？
A 放克。
B Afrobeats。
C 雷鬼。
D 灵魂乐。
A3: B

---

3.13 无法愈合的伤口

二十世纪末期在非洲造成的某些伤口，未能按时愈合。在卢旺达，比利时殖民政府将人口分为胡图族和图西族两个群体，而这两个群体在此之前并非作为独立的民族，而是作为同一民族内部的经济阶层。独立继承了这种人为的划分，在1994年，近一百万图西族人和温和派胡图族人在一百天内被屠杀，大多是由挥舞着砍刀的邻居所为。几乎同时，人类免疫缺陷病毒从中非雨林中迁出，并在整个大陆传播，最终导致超过三千万人死亡，并在其身后留下了整整一代孤儿。疟疾继续以每两分钟杀死一个非洲大陆上某个地方的孩子的速度进行着，而埃博拉病毒以不规则的间隔从同一个病毒起源的雨林中爆发。种族灭绝、流行病和孤儿共同构成了现代全球历史上最大的未愈合伤口之一。

Q1: 1994年的一百天内，近一百万图西族人和温和派胡图族人在哪里被屠杀？
A 埃塞俄比亚内战。
B 卢旺达种族灭绝。
C 刚果边界冲突。
D 布隆迪饥荒。
A1: B

Q2: 从中非雨林中迁出并导致超过三千万人死亡的病毒是
A 埃博拉病毒。
B 疟疾。
C 人类免疫缺陷病毒。
D 黄热病。
A2: C

Q3: 每两分钟杀死一个非洲儿童的蚊媒疾病是
A 疟疾。
B 埃博拉。
C 艾滋病毒。
D 霍乱。
A3: A

---

3.14 没有等待的大陆

卢旺达在种族灭绝后所建造的东西是没有人预料到的。这个国家选择了数字治理这条不太可能的道路：整个领土都铺设了光纤电缆，农村医院的血液现在由自主无人机运送，国家身份识别系统完全通过手机运行。在边境另一边的肯尼亚，名为M-Pesa的手机货币服务允许没有银行账户的农民通过老式键盘手机即时转账，该系统已被随后试图模仿它的每一个欧洲和美国金融科技公司作为模型研究。在尼日利亚，瑙莱坞电影产业目前每年制作的电影数量超过好莱坞，按产量算是地球上第二大电影产业。在马拉维，一个名叫威廉·卡姆夸姆巴的十四岁男孩，在2002年饥荒期间，用一本借来的图书馆教科书、一个自行车发电机和生锈的废料，建造了一台功能齐全的风车，在他父母结婚后的生活中第一次照亮了他们的房子。非洲没有等待任何人来拯救它。

Q1: 没有银行账户的肯尼亚农民可以通过他们的手机使用什么服务即时转账？
A 微信支付。
B 苹果支付。
C M-Pesa。
D 贝宝。
A1: C

Q2: 现在每年制作电影数量超过好莱坞的尼日利亚电影产业是
A 宝莱坞。
B 瑙莱坞。
C 拉各斯坞。
D 非洲坞。
A2: B

Q3: 在2002年马拉维饥荒期间，威廉·卡姆夸姆巴通过建造什么来照亮他父母的房子？
A 用碎瓶子做的太阳能板。
B 一个小型水力发电坝。
C 一台用借来的图书馆教科书制作的风车。
D 一个由牛粪供料的沼气发生器。
A3: C

---

（本章词汇总结部分跳过）

阶段 0，第 4 章：南极洲与北极

---

4.1 冰冻的大陆

南极洲曾经拥有温带的森林地貌，恐龙在其中行走，早期哺乳动物在其中觅食。随后，这片大陆缓慢地漂移到其目前位于极点上方的位置，一股我们现在称之为环极洋流的巨大新洋流开始环绕它流动，将所有温暖的赤道流隔绝在该区域之外，并将寒冷困在自己周围。在几十万年内，整个陆地被一公里厚的冰盖所覆盖，每一片森林、每一只恐龙、其中每一个更温暖的生态系统都被简单地活埋了。今天，南极洲构成了这个星球上最寒冷、最干燥、最多风的大陆，是一片广阔的白色沙漠，在其下方，那些消失的森林的保存下来的化石仍在冰冻的岩石中等待。

Q1: 南极洲被什么东西与温暖的赤道流隔绝？
A 墨西哥湾流。
B 环极洋流。
C 季风槽。
D 赤道漂流。
A1: B

Q2: 在南极洲漂向南极之前，它曾经拥有什么？
A 仅仅是苔原。
B 一片贫瘠的岩石高原。
C 恐龙行走其中的温带森林。
D 一片浅海热带珊瑚礁。
A2: C

Q3: 今天，整个大陆被什么包裹着？
A 一层薄薄的季节性积雪。
B 一公里厚的冰盖。
C 沿岸散落的冰川。
D 每年夏天融化的流动浮冰。
A3: B

---

4.2 磷虾盛宴

同样的环极洋流不仅仅隔离了这片大陆。当冷水循环时，它将深层营养物质向上泵送到表层，而到达上层海洋的阳光引发浮游植物的大量繁殖，这反过来又维持了一种叫做磷虾的微小的粉红色甲壳类动物。磷虾聚集的群体如此密集，以至于它们将南大洋的整片海域染成红色，而从那单一群聚的物种开始，南极食物链的其余部分向上攀升。蓝鲸，这个星球有史以来产生的最大的生物，每年迁徙到这些水域，通过鲸须板过滤数以吨计的磷虾。企鹅潜入水中追逐它们，海豹吞食它们，座头鲸在它们之间歌唱。没有环极洋流诱导的耐心的营养物质上升流，这种集中的丰富资源连一个季节都无法持续。

Q1: 支撑南极食物链的微小的粉红色甲壳类动物是
A 虾。
B 桡足类。
C 磷虾。
D 浮游蠕虫。
A1: C

Q2: 每年迁徙来过滤磷虾的这个星球有史以来最大的生物是
A 座头鲸。
B 抹香鲸。
C 逆戟鲸。
D 蓝鲸。
A2: D

Q3: 磷虾本身以表层附近阳光引发的什么大量繁殖为食？
A 珊瑚产卵。
B 浮游植物。
C 深水细菌。
D 漂流的水母。
A3: B

---

4.3 漫长的冬季守望

南极的冰层对其最著名的居民施加了一条奇特的育幼规则。一旦雌性帝企鹅产下它唯一的蛋，它会立即将蛋转移给伴侣的脚，然后跋涉数百公里回到开阔水域觅食。雄性将蛋放在脚上，在温暖的育雏袋下孵化四个月之久，在温度降至零下六十度的环境中静止不动，仅靠储存的脂肪生存，而极夜则消灭了所有其他温暖来源。数百只雄性挤在一起，形成一个持续旋转的群体，平等地分散寒冷，并防止任何个体在风中冻僵。当雏鸟最终孵化出来时，雌性从海中归来，胃里装满了鱼，而筋疲力尽的父亲们则轮到它们踉跄着穿过冰层返回。

Q1: 雄性将唯一的蛋放在脚上孵化四个月的鸟是
A 王企鹅。
B 阿德利企鹅。
C 帝企鹅。
D 北极燕鸥。
A1: C

Q2: 企鹅蛋被保护在什么下面？
A 一个鹅卵石筑成的巢。
B 一个从雪中挖出的凹陷。
C 一个温暖的育雏袋。
D 每年脱落的厚羽毛毯。
A2: C

Q3: 数百只雄性通过什么方式在极夜中生存？
A 各自挖洞钻进雪里。
B 在一个分散寒冷的群体中持续旋转。
C 迁徙到内陆以躲避风。
D 轮流在冰下捕鱼。
A3: B

---

4.4 更聪明的捕食者

简单的食物链迫使其中的每一个捕食者发展出更精细的策略。逆戟鲸学会了三人一组协作：一头鲸鱼制造波浪将海豹从浮冰上冲下来，而其他鲸鱼则在下面等待，在海豹落水时拦截它。豹海豹潜伏在冰层裂缝附近的表面之下，静静地等待企鹅从捕鱼潜水中返回，然后突然加速向上，在一次爆炸性的猛扑中抓住鸟儿。每一种捕食者都设计出一种专门的技术，精确地针对其唯一的可用猎物，其结果是这个星球上智力要求最高的食物链，在一片冰原景观上展开，在这里，一个错误就会终结犯错的任何生物。

Q1: 用制造的波浪将海豹从冰上冲下来的三鲸协作团队是什么鲸？
A 蓝鲸。
B 座头鲸。
C 逆戟鲸。
D 一角鲸。
A1: C

Q2: 从捕鱼潜水中返回的企鹅被什么从水面下抓住？
A 海象。
B 北极熊。
C 豹海豹。
D 逆戟鲸。
A2: C

Q3: 逆戟鲸倾斜以将猎物摇下来的平坦的漂浮海水冰板被称为
A 冰川。
B 浮冰。
C 冰山。
D 冰架。
A3: B

---

4.5 生命的下限

整个南极大陆只支持一种真正的昆虫，一种两毫米长的无翅蠓，栖息在沿海较温暖边缘的苔藓斑块中。它通过在其体液中产生一种抗冻蛋白来抵御低至零下十五度的温度，这种蛋白质可以防止冰晶破裂其细胞。低于这个阈值，即使是这种顽强的生物也无法生存，而在狭窄的苔藓和地衣带之外，这片大陆根本没有植物生命。因此，南极蠓构成了这个星球上复杂陆地生命的下限，一个微小的黑点，精确地展示了在生物化学定律介入之前，一种生物可以忍受多么寒冷。

Q1: 栖息在南极大陆的唯一真正的昆虫是一种无翅的
A 甲虫。
B 两毫米长的蠓。
C 蚊子。
D 蜻蜓。
A1: B

Q2: 这种蠓通过产生什么来在低至零下十五度的温度下生存？
A 一层绝缘蜡。
B 一个充满温暖空气的体腔。
C 一种在其体液中的抗冻蛋白。
D 一层厚厚的几丁质外壳。
A2: C

Q3: 南极蠓生活在沿海较温暖边缘的什么斑块中？
A 苔藓。
B 雪下生长的真菌。
C 冰川脚下的草。
D 浮冰下的藻类。
A3: A

---

4.6 奔向极点的竞赛

两支探险队竞相穿越南极冰层，试图成为第一批到达南极点的队伍。挪威探险家阿蒙森做了精心的准备：从幼年起训练的雪橇犬，预先勘测的路线，在每个测量好的间隔埋藏的食物贮藏点。他到达了极点，插上了自己国家的国旗，并且没有损失一名队员就返回了。相比之下，英国船长斯科特坚持用矮种马和机动雪橇穿越摧毁了这两者的地形，并在阿蒙森之后一个月到达极点，发现挪威国旗已经在那里了。在回程途中，斯科特和他的四个同伴在一场暴风雪中一个接一个地死在了他们的帐篷里，距离本可以救他们一命的食物贮藏点只有十一英里。南极洲得出的结论是：在这种气候下，准备不是可有可无的。

Q1: 阿蒙森依靠精心训练的什么到达了南极点？
A 驯鹿。
B 矮种马。
C 雪橇犬。
D 机动雪橇。
A1: C

Q2: 斯科特坚持用什么东西穿越极地地形？
A 从埃及进口的骆驼。
B 矮种马和机动雪橇。
C 拉着木车的牛。
D 从阿蒙森那里购买的雪橇犬。
A2: B

Q3: 斯科特的队伍在什么地方一个接一个地死在了他们的帐篷里？
A 一场暴风雪中，距离食物贮藏点十一英里。
B 一场淹没了营地的突然解冻。
C 由受污染食物引起的冻疮瘟疫。
D 他们脚下冰层的崩塌。
A3: A

---

4.7 浮冰间的坚忍号

英国探险家沙克尔顿曾试图徒步穿越整个南极大陆。他的船"坚忍号"在到达海岸之前就被浮冰困住了，冰层逐渐将木制船体压碎，直到它碎裂沉没，将二十八人遗弃在威德尔海中部一块漂流的浮冰上。在两年多的时间里，这支队伍在那块冰上坚持着，睡在打捞上来的帐篷里，先是消耗了船上的补给，然后吃掉了他们的雪橇犬。当浮冰最终碎成太小无法居住的碎片时，沙克尔顿带领六个人乘坐一艘小救生艇，穿越地球上最狂暴的一段海洋，到达一个偏远的捕鲸站，然后组织了一次救援任务，去营救他的其余船员。每一个人都活着回到了家。

Q1: 沙克尔顿的计划正是要做什么？
A 从一个固定基地进行科学考察。
B 用双翼飞机进行空中侦察。
C 徒步穿越南极洲的探险。
D 与阿蒙森竞赛，率先到达南极点。
A1: C

Q2: "坚忍号"是一艘
A 用于紧急情况的小救生艇。
B 在到达海岸前就被浮冰困住的木船。
C 为极地工作设计的钢制破冰船。
D 为这次航行租用的挪威捕鲸船。
A2: B

Q3: 沙克尔顿的木制船体被什么逐渐压碎？
A 威德尔海中漂浮的冰山。
B 包围了船的浮冰。
C 海底下的一次突然火山喷发。
D 堆积在其甲板上的积雪的重量。
A3: B

---

4.8 条约与过去的大气

十二个国家签署了一项条约，将整个南极大陆指定为科学保护区，禁止一切军事活动和武器试验，并将该领土保留用于合作研究。几十年后，科学家钻探深冰芯，提取出在冰层中保存了近一百万年的气泡，使他们能够直接测量地球在那段时间里经历过的每一种气候的大气成分。同样的科学家通过例行监测发现，大陆上空的臭氧层正在灾难性地变薄，原因是全世界喷雾罐和冰箱释放的氯氟烃化学物质。这一发现促成了有史以来最成功的环境协议，该协议在全球范围内消除了这些化学物质，现在正缓慢地让臭氧层恢复。南极洲给了地球一个它能读懂的警告，因为那里的寒冷保存了它。

Q1: 十二个国家通过签署什么将整个大陆留作合作研究用途？
A 日内瓦公约。
B 柏林会议。
C 南极条约。
D 京都议定书。
A1: C

Q2: 喷雾罐和冰箱释放的氯氟烃被全球消除，以允许什么恢复？
A 氮循环。
B 臭氧层。
C 电离层。
D 对流层。
A2: B

Q3: 科学家通过提取什么来测量古代气候的大气成分？
A 南极点的火山灰。
B 冰芯内保存的空气气泡。
C 冰层下岩石中的化石花粉。
D 威德尔海的海盐结晶。
A3: B

---

4.9 不是大陆的海洋

相比之下，北极不是一块大陆，而是一片被陆地包围的海洋。在其表面，一层厚厚的浮冰每年冬天扩展，每年夏天退缩，而北极熊就在那片漂流的冰上追逐其唯一的首要猎物。熊一动不动地等在冰上的呼吸孔旁，直到海豹浮出水面，然后以一次爆炸性的猛扑出击。一角鲸，这种雄性长着一根类似于独角兽角的螺旋长牙的深水鲸鱼，在冰下游动，并在移动的裂缝处浮出水面呼吸。海象用自己的长牙在新形成的冰上撬开呼吸孔。北极燕鸥，地球上年度迁徙距离最长的鸟，每年往返于南极和北极之间，积累的终生飞行距离相当于几次往返月球。

Q1: 在呼吸孔旁一动不动地等待直到海豹浮出水面的北极捕食者是
A 豹海豹。
B 海象。
C 北极熊。
D 逆戟鲸。
A1: C

Q2: 雄性长着一根类似于独角兽角的螺旋长牙的深水鲸鱼是
A 白鲸。
B 一角鲸。
C 弓头鲸。
D 抹香鲸。
A2: B

Q3: 每年往返于两极之间、地球上年度迁徙距离最长的鸟是
A 信天翁。
B 北极燕鸥。
C 雪鸮。
D 帝企鹅。
A3: B

---

4.10 雪砖与太阳风暴

北极的因纽特人用压实的雪砖建造住所，这些雪砖被切割并堆叠成一个叫做冰屋的圆顶结构，其内部温度仅靠一个人的身体和一盏油灯就能上升到比外面温度高五十度以上。他们用鱼叉和狗拉雪橇捕猎海豹、海象、鲸鱼和北极熊，并在林木线以北的每一条海岸线上居住数千年。再往东，在拉普兰，萨米人随驯鹿群在各个季节间迁徙，将整个泰加林视为人类和动物之间的一个共享领地。在漫长的极夜里，两个民族上方的天空可能会突然被极光的绿色和紫色帷幕点燃，这是太阳风暴中涌出的带电粒子与高层大气碰撞时发生的情况。

Q1: 因纽特人建造的由压实雪砖堆叠成圆顶的住所是
A 冰屋。
B 萨米人帐篷。
C 蒙古包。
D 雅库特人帐篷。
A1: A

Q2: 在拉普兰，随驯鹿群迁徙的民族是
A 因纽特人。
B 萨米人。
C 楚科奇人。
D 阿留申人。
A2: B

Q3: 点燃极地天空的绿色和紫色帷幕被称为
A 日食。
B 夜光云。
C 极光。
D 极地蜃景。
A3: C

---

4.11 冰箱变成纵火犯

北极的浮冰现在每年夏天都在显著缩小，找不到稳定浮冰的北极熊必须游泳直到筋疲力尽淹死。解冻正在开放长期冻结的西北航道用于商业航运，俄罗斯、加拿大、丹麦和美国已经在争夺新的航道及其下方的石油矿床。更深的危机潜伏在永久冻土本身之中。西伯利亚和阿拉斯加的冻土含有缓慢分解的古代植被遗骸，随着永久冻土解冻，这种有机物释放出甲烷，一种温室气体，其吸收大气热量的效率大约是二氧化碳的三十倍。地球上最大的冷藏档案馆正在把自己变成地球上最大的不受监管的排放源。曾经冷却地球的冰箱已经开始非常缓慢地燃烧起来。

Q1: 通过北极开放用于商业航运的长期冰冻航道是
A 苏伊士运河。
B 巴拿马运河。
C 西北航道。
D 白令海峡。
A1: C

Q2: 含有缓慢分解的古代植被的西伯利亚和阿拉斯加的冻土是
A 苔原。
B 永久冻土。
C 泰加林。
D 基岩。
A2: B

Q3: 解冻的永久冻土释放一种温室气体，其效率大约是二氧化碳的三十倍，这种气体被称为
A 甲烷。
B 一氧化二氮。
C 臭氧。
D 二氧化硫。
A3: A

---

（本章词汇总结部分跳过）

阶段 0，第 5 章：澳大利亚与太平洋

---

5.1 独自漂移的大陆

澳大利亚在其地质历史的早期就从冈瓦纳超大陆撕裂开来，并缓慢地向北漂移到周围的海洋中，被没有外来物种能够穿越的海洋屏障所环绕。在随之而来的漫长隔离中，大陆上的每一个本土谱系都在没有外来竞争者的情况下进化，产生了一种地球上任何其他地方都没有等同物的动植物群。桉树充满了森林。金合欢树遍布干燥的内陆。在其他每一个大陆上早已被有胎盘哺乳动物竞争淘汰的动物，在这里可以自由地自己占据每一个可用的生态位，因为有胎盘哺乳动物根本没有设法到达过这里。其结果是一个在生物学上类似于这个星球上任何其他大陆的大陆，并且因此，在数千万年间，它精确地展示了当进化被严格单独留下时会发生什么。

Q1: 澳大利亚很早从被称为什么的超大陆撕裂开来？
A 盘古大陆。
B 劳亚古陆。
C 冈瓦纳古陆。
D 罗迪尼亚古陆。
A1: C

Q2: 占据隔离的澳大利亚森林的树是
A 金合欢树。
B 猴面包树。
C 桉树。
D 雪松。
A2: C

Q3: 在数千万年间，澳大利亚几乎没有接收到什么？
A 爬行动物。
B 不会飞的鸟。
C 有胎盘哺乳动物。
D 开花植物。
A3: C

---

5.2 有袋的大陆

在没有有胎盘哺乳动物的情况下，澳大利亚的有袋类动物自己多样化地填补了大陆上的每一个生态位。考拉爬上了桉树树冠，并发展出一种专门的新陈代谢来消化其有毒的叶子。袋鼹鼠像它们不相关的有胎盘对应物在其他地方挖掘土壤一样，挖掘着干燥的内陆土壤。袋鼠完善了弹跳步态，使其能够以低能量成本穿越广阔的距离，腿部充当活的弹簧。在每一种有袋类动物中，后代基本上是出生时只有豆子大小的胎儿，失明且几乎没有四肢，必须从产道爬到母亲的育儿袋中，在那里附着在一个乳头上并继续发育数月。你能叫出名字的每一种澳大利亚本土哺乳动物都遵循这种模式。育儿袋在这里不是奇闻异事。它构成了当地的常态。

Q1: 在没有有胎盘哺乳动物的情况下，澳大利亚的每一个生态位都被什么占据？
A 单孔类动物。
B 有袋类动物。
C 爬行动物。
D 有胎盘啮齿动物。
A1: B

Q2: 其整个新陈代谢专门用于消化有毒桉树叶的有袋动物是
A 袋熊。
B 考拉。
C 袋鼹鼠。
D 袋鼠。
A2: B

Q3: 弹簧般的腿使什么能够以低能量消耗在内陆进行广阔穿越？
A 大袋鼠。
B 鸭嘴兽。
C 袋鼠。
D 袋狼。
A3: C

---

5.3 产卵的哺乳动物

澳大利亚还拥有另一个比有袋类更令人困惑的进化惊喜。鸭嘴兽是一种产卵而不是胎生的哺乳动物，用有蹼的脚游泳，有类似鸭子的喙，类似海狸的尾巴，并在雄性脚踝上有一个能够使小型犬瘫痪的毒刺。由一位殖民地博物学家送回伦敦的第一个保存标本被普遍认为是一个骗局，欧洲生物学家公开指责寄送者将不相关动物的身体部位缝合在一起制造了一个欺诈。只有当后续的活体标本到达时，科学界才接受这种生物是真实的。它属于一个叫做单孔类的小目，是唯一幸存的仍然通过产卵繁殖的哺乳动物，一个在有袋类和胎盘类彼此分离之前就已经分化的进化谱系。

Q1: 澳大利亚那种有蹼脚、鸭嘴状喙和有毒脚踝刺的哺乳动物是
A 袋熊。
B 考拉。
C 鸭嘴兽。
D 针鼹。
A1: C

Q2: 唯一幸存的仍然通过产卵繁殖的哺乳动物目是
A 有袋目。
B 胎盘目。
C 单孔目。
D 啮齿目。
A2: C

Q3: 当第一个保存的鸭嘴兽到达伦敦时，欧洲生物学家认为它是
A 一个以前灭绝的物种。
B 一个用不相关的身体部位缝合起来的骗局。
C 一只鼻子受伤的幼年海狸。
D 一种完全正常的、不值得关注的哺乳动物。
A3: B

---

5.4 歌之径

澳大利亚原住民在冰河时代抵达这片大陆，当时海平面比今天低得多，他们乘坐竹筏跨越了狭窄的海洋。因此，他们在这片相同的土地上连续居住的时间比这个星球上任何其他现存的文化都要长。他们没有发展出欧洲意义上的书写系统，但他们设计出了一种同样持久的东西。整个大陆的地形，每一个水源，每一种危险的动物，每一条安全的山脊，都被编码成被称为"歌之径"的歌曲中，这些歌曲穿越景观，并代代口头相传。一首歌同时构成了一张完整的导航图和一部生态百科全书。走一条歌之径就是沿着一条祖先首先唱出来的路线行走。在原住民宇宙观中，土地和歌曲从未分离，忘记歌曲就意味着失去土地本身。

Q1: 澳大利亚原住民将整个大陆的地形、每一个水源和每一条安全山脊编码成歌唱的导航图，称为
A 梦幻时光。
B 徒步旅行。
C 歌之径。
D 科罗博里。
A1: C

Q2: 澳大利亚原住民在什么时候乘坐竹筏首次穿越到这片大陆？
A 青铜时代。
B 冰河时代，当时海平面较低。
C 中世纪暖期。
D 欧洲殖民时代。
A2: B

Q3: 世界上延续时间最长的现存文化属于
A 波利尼西亚人。
B 毛利人。
C 澳大利亚原住民。
D 因纽特人。
A3: C

---

5.5 没有指南针

波利尼西亚民族没有指南针，没有精密计时器，没有星盘，然而他们成功地在广阔的开放海洋上航行数千公里，殖民了这个星球上最大水体中几乎所有可居住的岛屿。他们凭记忆读取星星的位置。他们解读手下海洋洋流的颜色和温度。他们追踪海鸟的飞行方向，以确定地平线下的陆地。他们驾驶着舷外支架独木舟从一个岛屿航行到另一个岛屿，跨越的距离即使几个世纪后的欧洲水手带着他们所有的仪器也认为不可能尝试。波利尼西亚人最终到达了东太平洋的复活节岛和西南部的新西兰（奥特亚罗瓦）——地球上最后被人类发现的主要陆地。夏威夷和新西兰之间的每一块可居住的岩石都带有那些航海者的遗传遗产。

Q1: 在没有指南针或精密计时器的情况下殖民了几乎所有可居住岛屿的太平洋民族是
A 仅毛利人。
B 澳大利亚原住民。
C 波利尼西亚人。
C 波利尼西亚人。
A1: C

Q2: 他们在什么船上驾驶着穿越数千公里的开放海洋？
A 竹筏。
B 阿拉伯三角帆船。
C 舷外支架独木舟。
D 中国帆船。
A2: C

Q3: 新西兰的波利尼西亚语名称是
A 拉帕努伊。
B 奥特亚罗瓦。
C 哈瓦基。
D 纽埃。
A3: B

---

5.6 最干净的生态自杀

在一个特定的偏远的波利尼西亚岛屿上，现在被称为复活节岛，最初的定居者为了将巨大的石像（称为摩艾）在火山地形上滚动到沿海的仪式平台，逐渐砍伐了他们领土上能找到的每一棵树。随着最后一棵树倒下，岛民失去了建造独木舟的能力。没有了独木舟，他们就失去了在饥荒来临时出海捕鱼或迁徙到别处的能力。没有了森林的树冠，表土被侵蚀入海。曾经在摩艾石像上合作的酋长领地现在开始互相开战，整个文明在其资源耗尽的封闭实验室内部崩溃。因此，复活节岛构成了有记录的最干净的生态自杀样本：一个社会消耗了曾经维持它的环境，并且未能及时停止以拯救自己。

Q1: 在复活节岛上被拖过火山地形到达沿海平台的巨大石像被称为
A 图腾柱。
B 摩艾。
C 石棚。
D 方尖碑。
A1: B

Q2: 随着最后一棵树倒下，岛民失去了建造任何进一步的什么的能力？
A 房屋。
B 炊火。
C 用于近海捕鱼或迁徙的独木舟。
D 仪式平台。
A2: C

Q3: 因此，复活节岛构成了什么的最干净的有记录样本？
A 入侵崩溃。
B 火山灾难。
C 生态自杀。
D 瘟疫灭绝。
A3: C

---

5.7 露天的监狱

库克船长绘制了澳大利亚东海岸的地图，大英帝国立即认识到这一发现的价值：一个位于地球另一端的大陆，可以将囚犯送到那里并被遗忘。一船船的囚犯开始戴着镣铐抵达，新南威尔士州和塔斯马尼亚州的殖民地在此后的几十年里作为露天的刑事定居点扩张开来。欧洲定居者遇到了他们不了解的生态系统，将当地的有袋狼（袋狼）归类为害兽，并对每提供一具尸体支付赏金。最后一只袋狼孤独地死在霍巴特动物园的笼子里，而一台无声的黑白电影摄影机记录下它在围栏里踱步。那部影像至今仍保存在澳大利亚的档案中，而它所保存的物种已经不复存在。

Q1: 库克以什么英国海军军衔绘制了澳大利亚东海岸的地图？
A 海军上将。
B 准将。
C 船长。
D 中尉。
A1: C

Q2: 被归类为害兽并被猎杀至灭绝的塔斯马尼亚有袋捕食者是
A 澳洲野狗。
B 袋獾。
C 袋狼。
D 袋鼬。
A2: C

Q3: 英国将澳大利亚变成了一个什么样的露天场所？
A 贸易殖民地。
B 传教殖民地。
C 囚犯被送去的刑事殖民地。
D 商业领地。
A3: C

---

5.8 兔子瘟疫

一位英国农民将一小群欧洲兔子放归到他的澳大利亚庄园，以便他可以为了运动而射杀它们。几十年内，在没有任何天敌或当地疾病的情况下，兔子数量在整个大陆上爆炸式增长，消耗了半个国家的植被，并加速了它们遇到的每一个围场的侵蚀。澳大利亚政府修建了一道绵延数千公里、横跨大陆西半部的防兔围栏，但完全没能拦住它们。几十年后，同样的当局从夏威夷引进了海蟾蜍，以控制甘蔗田中的害虫。结果，海蟾蜍分泌出一种毒液，足以杀死任何试图吃掉它的澳大利亚本土捕食者，而蟾蜍自己则不受阻碍地扩散开来。在某些地方，澳大利亚现在成了其他每一个大陆可能未来的警示故事。

Q1: 为运动而放归、在澳大利亚由于没有天敌而数量爆炸式增长的欧洲动物是
A 猪。
B 狐狸。
C 兔子。
D 山羊。
A1: C

Q2: 当局在大陆西半部数千公里的范围内修建了一道什么样的围栏，但未能拦住它们？
A 防兔围栏。
B 毒饵墙。
C 训练有素的澳洲野狗环。
D 沿着沙漠边缘挖的壕沟。
A2: A

Q3: 为了控制甘蔗害虫而从夏威夷引进、毒死了吃掉它的每一种本土捕食者的两栖动物是
A 牛蛙。
B 海蟾蜍。
C 树蛙。
D 巨型蝾螈。
A3: B

---

5.9 白化的珊瑚礁

沿着澳大利亚东北海岸延伸着大堡礁，这个星球有史以来产生的最大单一活体结构。它在低地球轨道上可见。它是由珊瑚虫群落与其组织中嵌入的光合藻类合作，缓慢分泌碳酸钙构成的。当周围的海水温度仅比长期平均值高出几度时，珊瑚会在压力下排出它们的藻类伙伴，失去颜色，并在几周内饿死。大堡礁的大片区域已经白化。与此同时，在整个开放太平洋上，越来越猛烈的气旋现在袭击着低洼国家图瓦卢和马绍尔群岛，随着海平面上升，这些国家年复一年地被淹没，其人口正在为一场人类历史上没有先例的集体撤离做准备。太平洋是气候危机的前线，而大堡礁是上面的第一个目击者。

Q1: 这个星球有史以来产生的最大单一活体结构，在低地球轨道上可见，是
A 马尾藻海。
B 珊瑚三角区。
C 大堡礁。
D 马里亚纳海沟。
A1: C

Q2: 当海水变暖几度时，珊瑚会排出它们的藻类伙伴，失去颜色并饿死。这个过程被称为
A 珊瑚白化。
B 珊瑚礁侵蚀。
C 潮汐剥离。
D 光合作用崩溃。
A2: A

Q3: 随着海平面上升，现在正在准备集体撤离的低洼太平洋国家是
A 斐济。
B 图瓦卢。
C 萨摩亚。
D 瓦努阿图。
A3: B

---

（本章词汇总结部分跳过）

阶段 0，第 6 章：印度洋与大西洋

---

6.1 印度洋季风

